amount,time_delta,merchant_cat,country,is_night,typing_speed_ms,device_trust,is_fraud
283.38,12583,groceries,GB,1,309.8,0.409,0
366.06,82361,groceries,US,1,473.7,0.48,0
189.14,26722,groceries,IN,0,483.3,0.308,0
118.07,12868,utilities,IN,1,407.0,0.641,0
533.32,41130,utilities,IN,0,404.6,0.728,0
141.08,44787,groceries,IN,0,523.4,0.039,0
231.43,69727,gaming,IN,0,240.6,0.024,0
302.89,81936,utilities,US,1,260.0,0.732,0
486.72,9346,utilities,IN,1,313.6,0.238,0
525.18,21683,utilities,US,0,397.7,0.075,0
349.61,11084,utilities,IN,1,420.9,0.281,0
48.0,62464,groceries,GB,0,190.4,0.848,0
269.34,70725,gaming,IN,0,339.3,0.708,0
152.48,59236,gaming,US,0,459.1,0.22,1
296.26,1015,utilities,IN,1,239.7,0.828,0
892.4,40371,utilities,IN,0,280.4,0.991,0
740.56,35538,gaming,IN,0,396.2,0.7,0
412.78,43199,utilities,IN,0,251.5,0.646,0
549.14,9914,groceries,US,1,370.3,0.765,0
74.75,44372,travel,US,0,360.0,0.784,0
402.4,62429,utilities,US,0,316.8,0.466,0
618.38,31833,groceries,IN,0,265.7,0.733,0
163.44,55607,gaming,US,0,378.9,0.297,0
496.49,82947,luxury,IN,1,204.1,0.274,0
226.28,28719,groceries,IN,0,265.3,0.256,0
900.63,84833,gaming,IN,1,468.5,0.004,0
1003.25,27331,luxury,US,0,399.2,0.43,0
193.99,32053,utilities,IN,0,441.1,0.397,0
1430.11,52090,electronics,IN,0,344.1,0.687,0
273.83,34200,luxury,DE,0,461.3,0.265,0
2603.29,38698,utilities,IN,0,396.0,0.398,0
202.56,41886,gaming,US,0,323.3,0.217,0
352.96,49020,groceries,IN,0,437.8,0.709,0
409.84,1136,utilities,US,1,392.7,0.083,0
156.3,72582,utilities,US,0,259.9,0.272,0
58.98,73893,utilities,GB,0,374.9,0.433,0
148.86,62229,electronics,DE,0,335.9,0.559,0
974.76,84310,groceries,IN,1,419.3,0.348,0
238.39,6355,electronics,GB,1,419.7,0.276,0
238.86,76752,travel,GB,0,319.1,0.987,0
1509.28,26744,groceries,US,0,256.3,0.755,0
542.46,4525,gaming,IN,1,507.5,0.207,0
668.4,37035,utilities,IN,0,358.9,0.791,0
774.36,64516,utilities,IN,0,500.6,0.687,0
133.64,17910,groceries,US,1,457.9,0.297,0
375.14,6368,electronics,IN,1,346.1,0.231,1
384.83,2823,luxury,IN,1,304.3,0.594,0
282.51,68363,utilities,IN,0,345.5,0.607,0
111.0,84399,gaming,DE,1,413.7,0.218,0
526.56,14882,groceries,US,1,322.9,0.257,0
63.06,76471,gaming,IN,0,363.0,0.24,0
129.74,20351,travel,IN,0,425.7,0.949,0
147.41,5733,travel,IN,1,348.1,0.769,0
219.3,85705,electronics,IN,1,299.3,0.536,0
767.91,12155,gaming,IN,1,404.9,0.526,0
1735.87,22621,gaming,IN,0,486.4,0.044,0
1853.59,69871,electronics,DE,0,507.0,0.114,0
741.63,6830,travel,US,1,291.1,0.125,0
514.03,47682,groceries,IN,0,286.6,0.585,0
32.01,81165,utilities,IN,1,83.8,0.37,1
1025.26,13814,utilities,IN,1,273.2,0.019,0
4589.52,39697,groceries,IN,0,384.5,0.442,0
520.85,79891,groceries,IN,1,279.3,0.0,0
418.48,25874,utilities,US,0,402.5,0.563,0
665.99,50177,groceries,DE,0,389.9,0.675,0
686.23,65373,groceries,GB,0,306.1,0.603,1
378.99,1060,electronics,GB,1,446.1,0.657,0
227.87,3258,gaming,US,1,249.8,0.016,0
475.49,20861,utilities,US,0,304.9,0.09,1
84.0,80732,travel,GB,1,429.4,0.325,0
50.41,7912,groceries,IN,1,278.1,0.462,0
1291.45,57814,groceries,IN,0,308.0,0.63,0
209.46,20371,gaming,IN,0,399.2,0.348,0
677.59,36505,groceries,IN,0,409.5,0.01,0
1567.41,48029,travel,IN,0,273.1,0.343,0
1122.0,58183,utilities,IN,0,394.9,0.784,0
190.41,81184,luxury,SG,1,297.5,0.279,0
458.22,47015,gaming,US,0,244.5,0.385,0
103.18,38281,electronics,IN,0,424.8,0.305,0
298.27,6449,groceries,US,1,363.8,0.226,0
942.56,36366,groceries,GB,0,312.5,0.779,0
341.93,63766,gaming,IN,0,394.1,0.716,0
19.13,71129,gaming,IN,0,325.1,0.485,0
34.86,58098,groceries,DE,0,377.7,0.102,0
148.56,332,utilities,IN,1,289.0,0.644,0
1256.18,17800,luxury,IN,1,343.9,0.298,0
404.1,32739,groceries,US,0,234.2,0.584,0
381.4,38892,gaming,SG,0,402.2,0.605,0
88.82,74770,utilities,GB,0,235.5,0.391,1
383.38,71826,groceries,US,0,388.6,0.394,0
34.04,33969,travel,IN,0,339.4,0.424,0
466.11,34305,groceries,IN,0,228.9,0.942,0
1076.88,52900,utilities,US,0,341.7,0.386,0
146.2,50402,groceries,IN,0,502.3,0.765,0
979.44,65785,electronics,DE,0,387.5,0.514,0
161.21,85551,utilities,US,1,388.5,0.103,0
383.74,32605,groceries,IN,0,411.3,0.381,0
289.06,27903,electronics,IN,0,329.0,0.838,0
363.74,69569,travel,IN,0,303.7,0.973,0
1524.68,69540,electronics,US,0,444.1,0.179,0
799.35,72969,utilities,GB,0,193.1,0.979,0
168.15,75919,utilities,US,0,458.8,0.262,0
20.86,17158,luxury,DE,1,202.7,0.005,0
810.29,34414,utilities,IN,0,244.9,0.29,0
710.87,357,electronics,US,1,365.9,0.22,0
390.76,2105,groceries,IN,1,354.6,0.709,0
189.5,8822,luxury,IN,1,234.4,0.662,0
1637.61,84298,travel,IN,1,261.2,0.395,0
55.44,52856,groceries,IN,0,409.2,0.157,0
151.14,47699,utilities,SG,0,367.3,0.046,0
76.42,36318,electronics,IN,0,337.0,0.982,0
480.05,65061,groceries,US,0,382.8,0.014,1
207.69,47157,groceries,US,0,356.4,0.337,0
2734.7,80533,groceries,US,1,430.8,0.978,0
337.1,46587,electronics,GB,0,343.0,0.745,0
260.81,14774,gaming,IN,1,349.1,0.086,0
587.15,46467,groceries,SG,0,269.9,0.237,0
159.24,72373,utilities,IN,0,394.4,0.288,0
112.02,11345,luxury,IN,1,299.0,0.137,0
565.43,43084,groceries,IN,0,307.3,0.088,1
203.07,27021,utilities,IN,0,533.6,0.198,0
878.8,23411,groceries,IN,0,389.0,0.605,0
462.83,27834,luxury,US,0,463.1,0.847,0
372.04,5067,luxury,IN,1,278.5,0.056,1
354.62,38100,utilities,IN,0,278.9,0.24,0
303.77,16220,groceries,SG,1,143.8,0.555,0
497.76,3443,electronics,IN,1,516.7,0.593,0
222.6,25055,groceries,IN,0,292.4,0.987,0
46.75,42963,groceries,GB,0,450.6,0.611,0
357.95,73858,utilities,GB,0,336.7,0.252,1
208.93,55418,gaming,IN,0,313.6,0.596,0
83.57,77628,groceries,DE,0,182.7,0.248,0
722.9,72641,utilities,IN,0,475.6,0.595,0
226.41,49921,groceries,US,0,301.2,0.42,0
57.82,58685,luxury,IN,0,277.2,0.378,1
307.3,3254,gaming,IN,1,399.2,0.646,0
168.65,36144,groceries,IN,0,177.3,0.614,1
60.4,16135,luxury,IN,1,343.6,0.352,0
452.49,36081,electronics,DE,0,449.0,0.117,0
115.82,58093,travel,IN,0,434.2,0.545,0
679.23,53710,utilities,IN,0,297.9,0.999,0
134.98,70995,gaming,GB,0,330.6,0.991,0
879.74,53941,luxury,US,0,495.4,0.378,0
506.75,6262,groceries,IN,1,367.7,0.577,0
369.15,17911,utilities,IN,1,372.5,0.674,0
155.52,51579,electronics,IN,0,414.4,0.238,0
818.44,82658,utilities,SG,1,418.3,0.301,0
547.93,19515,groceries,DE,0,459.8,0.327,0
230.49,25700,travel,IN,0,319.3,0.833,0
591.83,48866,groceries,GB,0,361.7,0.022,1
118.75,53618,utilities,IN,0,293.2,0.247,0
92.09,74864,groceries,IN,0,317.0,0.048,0
300.97,83566,groceries,IN,1,403.8,0.026,0
355.56,82356,utilities,IN,1,480.3,0.304,0
508.01,63925,gaming,GB,0,186.7,0.28,0
353.41,58836,groceries,US,0,245.5,0.401,0
1145.16,52959,groceries,GB,0,308.7,0.911,0
91.11,17063,utilities,IN,1,350.7,0.433,0
584.59,5233,groceries,IN,1,430.5,0.29,0
414.98,36909,electronics,IN,0,357.4,0.818,0
1285.36,82906,travel,SG,1,291.0,0.215,0
375.22,83637,utilities,US,1,264.1,0.658,0
454.36,44533,utilities,US,0,478.1,0.445,0
1927.29,57653,gaming,IN,0,369.9,0.984,0
734.27,71888,groceries,IN,0,320.4,0.894,0
608.59,42408,travel,IN,0,350.2,0.308,0
224.18,57408,utilities,DE,0,402.1,0.759,0
380.52,32609,groceries,IN,0,285.8,0.158,0
63.44,80608,gaming,IN,1,365.2,0.883,0
142.43,32125,electronics,IN,0,338.1,0.073,0
632.44,53154,groceries,IN,0,450.2,0.819,0
55.89,77743,utilities,US,0,287.9,0.991,0
363.39,42493,electronics,GB,0,132.2,0.706,0
337.11,5404,travel,IN,1,542.3,0.346,0
488.67,59408,utilities,GB,0,314.9,0.565,0
60.72,17810,gaming,IN,1,377.9,0.323,0
43.45,3141,travel,SG,1,297.6,0.828,0
1004.4,64469,groceries,US,0,195.6,0.937,0
369.93,1691,gaming,IN,1,371.2,0.676,0
499.07,29808,groceries,GB,0,313.9,0.18,1
1667.73,24211,gaming,IN,0,388.9,0.365,0
394.03,67097,luxury,US,0,222.4,0.186,0
46.45,48658,groceries,IN,0,393.2,0.595,0
242.38,71317,luxury,IN,0,377.7,0.96,1
750.66,26667,travel,IN,0,288.9,0.63,0
216.41,12064,utilities,IN,1,360.1,0.671,0
244.62,51287,utilities,SG,0,242.8,0.594,0
181.46,41407,gaming,US,0,416.0,0.619,0
1437.21,34113,luxury,IN,0,430.9,0.195,0
1148.13,22799,groceries,US,0,322.3,0.1,0
54.21,61372,gaming,IN,0,307.9,0.023,0
2223.58,20883,electronics,IN,0,345.7,0.028,0
152.7,83143,electronics,IN,1,331.3,0.187,0
2515.49,17444,utilities,IN,1,264.3,0.255,0
89.0,74864,gaming,GB,0,441.4,0.978,0
996.45,73894,utilities,IN,0,341.9,0.793,0
187.95,85446,groceries,US,1,306.4,0.807,0
283.4,77330,gaming,IN,0,275.3,0.733,0
801.08,74321,luxury,IN,0,415.2,0.484,1
158.05,50775,gaming,DE,0,415.1,0.374,0
453.91,49059,groceries,IN,0,306.3,0.82,0
450.36,56480,utilities,IN,0,245.3,0.853,0
1089.91,10387,utilities,IN,1,407.7,0.667,0
1298.86,38945,utilities,DE,0,298.7,0.43,0
2168.08,57839,groceries,IN,0,340.8,0.153,1
448.75,47558,electronics,US,0,512.1,0.598,0
498.35,79483,luxury,US,1,321.3,0.385,0
187.54,23363,electronics,IN,0,246.6,0.421,0
153.81,54777,groceries,IN,0,348.7,0.845,0
88.36,4867,utilities,US,1,332.6,0.531,0
264.09,43569,electronics,IN,0,321.2,0.831,0
387.22,60356,utilities,IN,0,261.4,0.8,0
337.92,8983,luxury,IN,1,440.8,0.654,0
587.52,71996,travel,US,0,400.0,0.473,0
85.32,55248,luxury,US,0,355.2,0.574,0
1872.8,74441,gaming,IN,0,423.5,0.359,0
450.2,26574,groceries,IN,0,255.7,0.635,0
988.1,22193,groceries,IN,0,360.1,0.181,0
467.7,80089,utilities,IN,1,361.4,0.986,0
137.84,36811,electronics,US,0,452.9,0.763,0
239.06,62392,travel,US,0,370.7,0.287,0
12.24,463,travel,GB,1,368.6,0.88,0
410.11,22362,gaming,IN,0,414.7,0.671,0
308.98,5470,groceries,US,1,436.4,0.669,0
1113.87,65907,groceries,IN,0,277.9,0.613,0
57.2,19970,groceries,IN,0,403.9,0.161,0
306.13,58431,groceries,US,0,208.8,0.665,0
244.0,81873,groceries,IN,1,332.1,0.549,0
93.63,5790,utilities,IN,1,340.4,0.715,0
76.28,76767,groceries,IN,0,520.0,0.863,0
102.22,6375,utilities,US,1,298.2,0.376,1
885.78,58253,utilities,IN,0,311.3,0.779,0
887.03,18839,groceries,SG,0,478.3,0.746,0
78.46,39010,utilities,IN,0,176.0,0.911,0
280.3,15305,travel,SG,1,372.7,0.96,0
531.64,47030,utilities,US,0,350.7,0.916,0
458.63,84927,electronics,GB,1,140.8,0.307,0
72.54,6859,utilities,IN,1,382.6,0.915,0
181.44,59949,groceries,IN,0,394.5,0.726,0
78.79,13022,luxury,SG,1,237.6,0.843,0
915.07,74636,electronics,IN,0,438.4,0.304,0
4437.7,29046,utilities,US,0,359.9,0.301,0
315.04,24521,groceries,IN,0,431.9,0.495,0
38.74,20627,travel,IN,0,406.7,0.038,0
750.81,51686,utilities,US,0,316.9,0.618,0
1570.93,29017,utilities,IN,0,438.4,0.705,0
1452.81,69759,electronics,US,0,353.5,0.903,0
390.42,11841,gaming,GB,1,361.5,0.818,0
562.51,72146,utilities,IN,0,356.7,0.701,0
364.1,11962,luxury,IN,1,357.6,0.732,0
680.71,36558,electronics,IN,0,429.9,0.619,0
848.95,76234,utilities,GB,0,496.8,0.446,0
155.87,5992,groceries,DE,1,318.8,0.409,1
184.21,71282,electronics,US,0,346.2,0.751,0
235.31,77670,electronics,IN,0,384.3,0.389,0
263.03,48896,utilities,IN,0,414.2,0.093,0
401.14,43632,groceries,GB,0,291.3,0.66,1
1013.58,58571,electronics,US,0,498.9,0.582,0
89.66,71357,electronics,US,0,378.4,0.645,0
829.72,80534,groceries,DE,1,227.8,0.002,0
271.94,81737,electronics,DE,1,302.2,0.634,1
18.85,14489,groceries,IN,1,484.4,0.28,0
222.27,10071,electronics,US,1,203.8,0.688,0
252.07,60700,utilities,IN,0,364.7,0.969,0
572.95,20588,electronics,US,0,377.3,0.541,0
597.14,58769,travel,IN,0,302.8,0.144,0
329.05,73250,electronics,SG,0,387.4,0.511,0
146.66,86156,utilities,SG,1,233.8,0.143,0
858.64,50420,gaming,GB,0,510.9,0.5,0
168.25,66253,travel,US,0,476.6,0.504,0
100.9,77212,luxury,DE,0,404.0,0.807,0
174.35,547,gaming,IN,1,357.9,0.503,0
193.25,50475,utilities,IN,0,284.0,0.066,0
295.44,6779,travel,US,1,312.3,0.062,0
211.59,73746,utilities,IN,0,302.2,0.247,0
230.03,55526,travel,GB,0,338.6,0.785,0
695.21,23873,travel,GB,0,408.8,0.639,0
734.42,28309,electronics,IN,0,270.0,0.169,0
564.22,12035,groceries,IN,1,441.6,0.414,0
243.02,52778,electronics,SG,0,226.1,0.777,0
169.92,76793,utilities,IN,0,366.4,0.769,0
262.65,11150,groceries,IN,1,380.4,0.36,0
285.97,17230,gaming,IN,1,409.2,0.037,0
768.19,22253,utilities,IN,0,391.2,0.873,0
250.23,20865,electronics,DE,0,335.1,0.064,0
99.27,80576,electronics,IN,1,289.3,0.54,0
143.35,45409,groceries,DE,0,413.8,0.364,0
1932.89,24123,gaming,IN,0,438.1,0.009,0
130.31,6091,gaming,IN,1,376.5,0.174,0
93.58,72721,electronics,IN,0,304.6,0.836,0
247.38,54378,utilities,US,0,332.3,0.191,0
1926.87,31843,utilities,DE,0,419.5,0.014,0
364.68,8119,groceries,IN,1,239.4,0.131,0
443.74,86360,groceries,US,1,265.3,0.958,0
68.44,46337,electronics,GB,0,247.0,0.227,0
73.98,34149,utilities,SG,0,355.2,0.023,0
330.37,70976,utilities,IN,0,308.6,0.632,0
209.55,39588,groceries,GB,0,314.1,0.748,0
488.94,5594,travel,US,1,401.6,0.255,1
109.96,37017,electronics,IN,0,369.3,0.195,0
949.21,60191,utilities,GB,0,352.3,0.362,1
1286.99,6071,groceries,SG,1,320.4,0.077,0
70.5,68399,electronics,IN,0,224.5,0.026,0
423.15,71119,gaming,IN,0,342.6,0.057,0
250.48,1344,utilities,US,1,390.8,0.087,0
1401.35,36874,gaming,GB,0,490.4,0.147,0
415.06,83487,utilities,US,1,262.5,0.15,0
859.06,69335,gaming,IN,0,322.4,0.264,0
306.84,27321,groceries,GB,0,345.7,0.963,0
453.4,82291,travel,US,1,354.5,0.524,0
2794.51,47003,groceries,US,0,394.1,0.805,1
2641.09,20401,utilities,IN,0,389.2,0.277,0
60.71,85531,travel,GB,1,474.5,0.654,1
484.84,72876,luxury,IN,0,369.4,0.103,0
421.52,85784,gaming,IN,1,478.7,0.668,0
113.16,82010,groceries,US,1,330.6,0.386,0
153.63,42624,gaming,US,0,278.3,0.022,0
398.43,54437,utilities,SG,0,355.3,0.119,0
861.42,59710,groceries,DE,0,210.8,0.392,0
558.75,12807,groceries,US,1,340.7,0.371,0
217.86,84953,groceries,IN,1,292.2,0.77,0
114.6,16546,travel,US,1,282.8,0.77,0
40.82,28974,electronics,IN,0,263.2,0.383,0
1544.72,28033,electronics,DE,0,328.0,0.343,0
189.78,7573,groceries,IN,1,413.6,0.986,0
140.21,46602,gaming,IN,0,247.8,0.108,0
464.15,75217,gaming,SG,0,374.8,0.617,0
303.9,25334,groceries,US,0,346.1,0.469,0
325.68,307,gaming,IN,1,356.7,0.789,0
638.9,80704,electronics,US,1,432.3,0.029,0
203.64,72282,groceries,SG,0,358.4,0.254,0
115.0,13365,groceries,SG,1,394.7,0.855,0
287.16,79094,groceries,IN,0,315.4,0.732,0
353.6,78234,utilities,US,0,266.3,0.536,0
111.51,19868,travel,IN,0,288.5,0.741,0
109.67,76004,utilities,IN,0,278.3,0.121,0
116.19,60576,groceries,IN,0,277.1,0.41,0
748.75,34103,utilities,SG,0,368.9,0.456,0
1322.13,70600,utilities,IN,0,532.0,0.224,0
1183.3,74056,electronics,US,0,415.4,0.739,1
132.88,36930,electronics,GB,0,272.4,0.44,0
165.49,29394,utilities,IN,0,402.6,0.937,0
92.33,54166,travel,IN,0,346.2,0.252,0
2078.15,72188,electronics,IN,0,313.4,0.085,0
204.05,22395,groceries,IN,0,271.1,0.021,0
318.95,38769,groceries,DE,0,414.6,0.375,0
205.75,13898,electronics,GB,1,258.2,0.018,0
391.53,38299,groceries,US,0,441.6,0.17,1
116.04,273,gaming,GB,1,312.2,0.597,0
178.08,40779,gaming,IN,0,131.6,0.204,0
133.02,50529,utilities,IN,0,328.8,0.319,0
31.11,42689,electronics,US,0,213.3,0.612,0
427.11,10338,utilities,IN,1,348.8,0.591,0
692.7,70050,gaming,IN,0,268.7,0.978,0
873.55,70494,groceries,IN,0,403.8,0.769,0
1574.43,11906,utilities,SG,1,384.9,0.357,0
856.04,44283,groceries,GB,0,252.2,0.633,0
308.07,82805,utilities,DE,1,390.0,0.066,0
569.96,68299,luxury,IN,0,294.6,0.598,1
194.7,49484,groceries,IN,0,269.6,0.728,0
731.61,21295,utilities,IN,0,372.1,0.665,0
248.46,73622,electronics,US,0,349.2,0.034,0
32.38,8069,utilities,US,1,244.3,0.623,0
320.87,85648,utilities,US,1,402.9,0.058,0
352.06,50918,electronics,IN,0,278.7,0.452,0
102.26,84589,gaming,US,1,465.0,0.636,0
532.06,78282,electronics,IN,0,428.0,0.064,0
1085.26,66881,utilities,US,0,379.9,0.238,0
104.22,35625,electronics,IN,0,338.4,0.557,0
705.24,18628,utilities,SG,0,359.3,0.848,0
788.37,56474,gaming,IN,0,239.3,0.936,0
128.02,61751,gaming,IN,0,459.0,0.635,0
212.62,43664,electronics,SG,0,338.4,0.76,0
110.98,74608,groceries,IN,0,291.0,0.45,0
185.65,55647,gaming,GB,0,259.4,0.912,1
315.0,2350,luxury,US,1,282.3,0.28,1
1062.95,69023,groceries,GB,0,221.1,0.975,0
174.8,18043,utilities,US,0,243.4,0.59,0
69.96,5220,utilities,IN,1,314.2,0.096,0
14.27,77827,groceries,DE,0,283.1,0.861,0
169.55,64651,luxury,DE,0,324.4,0.909,0
89.04,47900,groceries,SG,0,320.5,0.207,0
398.68,77217,utilities,IN,0,434.6,0.609,0
416.54,81176,electronics,IN,1,469.4,0.576,1
67.74,67600,gaming,DE,0,297.2,0.764,0
475.74,34435,luxury,IN,0,185.9,0.96,0
268.0,82078,utilities,IN,1,446.8,0.336,0
257.08,78039,utilities,US,0,353.4,0.312,0
196.76,32475,utilities,US,0,214.4,0.645,0
865.23,22258,utilities,DE,0,352.4,0.375,0
